date,price_eur,wind_mwh,consumption
2015-01-01,16.310416791666665,69205.89290899999,50463.091189
2015-01-02,4.970416624999999,75560.05411400003,58020.85315099999
2015-01-03,15.291666791666668,60866.207109,53522.801393
2015-01-04,21.06416679166667,47062.623039000006,52247.42895400001
2015-01-05,37.997499958333336,14399.945805000001,62190.581422999996
2015-01-06,29.261666708333333,35764.806064000004,64194.680053
2015-01-07,29.196249916666666,41887.86524100001,63842.059695
2015-01-08,24.94708329166667,56954.14663100001,65027.638548
2015-01-09,23.255000125,65595.40331600001,64334.538692999995
2015-01-10,14.933333416666667,48707.01567400001,55245.978392000005
2015-01-11,3.73625,64031.355857,57060.911132
2015-01-12,11.220000125,72572.809273,67258.01806799999
2015-01-13,23.377499916666668,40045.738899,64583.685670000006
2015-01-14,24.58416675,43157.083711,65333.45471200001
2015-01-15,23.176666666666666,70014.34002199999,67567.496458
2015-01-16,20.312083333333334,65693.587308,63876.605959000015
2015-01-17,27.260833541666667,44402.69237900001,53279.504761000004
2015-01-18,27.099166791666665,16221.390405999999,52948.59472700002
2015-01-19,34.372917083333334,4086.294116,64599.37658900001
2015-01-20,40.437916791666666,10193.370681999997,66676.25476200001
2015-01-21,41.35000025,1117.83715,66519.19995200001
2015-01-22,41.83583341666667,710.9706859999999,66902.800048
2015-01-23,39.49249979166667,16498.166584,66020.397219
2015-01-24,27.615833625,43051.516836,56765.222657000006
2015-01-25,28.132499958333334,16548.146981,53154.21142599999
2015-01-26,28.307083291666665,39703.635912,65124.880614999995
2015-01-27,27.332500083333333,34424.712397999996,64454.78845199999
2015-01-28,26.23624995833333,62912.654868,66406.71045
2015-01-29,26.75416625,38419.34531299999,65794.06298799999
2015-01-30,30.31958325,4920.719413000001,63199.86401499999
2015-01-31,28.03791675,9023.361305999997,54622.610594000005
2015-02-01,27.75125,21753.891340999995,53615.62805100001
2015-02-02,32.443333125,15725.271036999999,64916.265747000005
2015-02-03,38.064166625,18432.000851,66489.970092
2015-02-04,43.677083333333336,15358.187789,67661.625489
2015-02-05,39.23041641666667,6232.663778999999,66642.71264700001
2015-02-06,32.462083166666666,22558.393307,64354.06567500001
2015-02-07,23.827083333333334,70300.73119800001,55521.080688
2015-02-08,14.540833458333333,57018.38017199999,55239.31665100001
2015-02-09,24.304583458333333,59116.124388,63172.19433599999
2015-02-10,27.991666791666667,50777.599572000014,61710.10669099999
2015-02-11,40.112083625,16406.282047,63287.14807000001
2015-02-12,41.62124979166667,8495.578915,63366.057741000004
2015-02-13,32.77541670833333,14803.303357,61344.89477700001
2015-02-14,27.39000025,24959.502130000008,53748.75109799999
2015-02-15,26.367499958333333,55674.253964,53765.967408000004
2015-02-16,27.552916583333335,51513.910341,64886.08544800001
2015-02-17,33.144583250000004,25636.061118999998,65094.111937
2015-02-18,27.01,65361.833731000006,64227.567626
2015-02-19,25.964583583333333,71025.708486,65343.371337
2015-02-20,25.669999875000002,40095.199403000006,62788.157107
2015-02-21,25.8975,5609.039247,53237.42273300001
2015-02-22,25.604583166666668,31365.051997000002,51014.20227
2015-02-23,23.712083375,48907.720106999994,64133.714476999994
2015-02-24,25.909583333333334,50690.47683799999,64605.231448000006
2015-02-25,29.715416708333333,19124.538608,62705.174685
2015-02-26,26.25374975,38234.817341,63403.043700999995
2015-02-27,25.721250208333334,8013.316013,60276.594357999995
2015-02-28,24.967500208333334,39740.910635000015,52161.93310299999
2015-03-01,13.172499958333333,58791.729851000004,55359.348020000005
2015-03-02,25.17791675,31553.143283999998,61921.741333
2015-03-03,25.575416833333332,28670.139118000003,62225.35241900001
2015-03-04,26.386250083333334,20683.582717999998,63055.949706999985
2015-03-05,30.777916666666666,22260.727082999998,62318.35791100001
2015-03-06,27.10666675,30282.53911299999,59986.43994299999
2015-03-07,22.586666833333332,61284.87866799999,52476.437865
2015-03-08,20.634166666666665,48859.63796299999,50351.782591
2015-03-09,30.84541679166667,15809.541186,59226.071533
2015-03-10,24.399999875,53422.29475700002,61211.878295999995
2015-03-11,30.401250166666667,19398.532794,59563.931274999995
2015-03-12,33.907916541666665,4634.321690000001,59710.02441500001
2015-03-13,26.344166708333333,16556.406860000003,57974.48352
2015-03-14,24.259166666666665,27092.773441999998,49616.436401000006
2015-03-15,24.059166625,29339.214154999998,49093.266356999986
